,smiles,affinity_score
0,C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,1
1,c12c3c(N4CCN(C)CC4)c(F)cc1c(c(C(O)=O)cn2C(C)CO3)=O,1
2,C1CCN(CC1)Cc1cccc(c1)OCCCNC(=O)C,1
3,Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,1
7,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O,1
8,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,1
9,OCC(C)(O)c1onc(c2ncn3c2CN(C)C(c4c3cccc4Cl)=O)n1,0
10,CC1=CN([C@H]2C[C@H](F)[C@@H](CO)O2)C(=O)NC1=O,1
11,C(Cl)Cl,1
12,C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,1
13,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,1
14,CCN1N=NN(CCN2CCC(CC2)(COC)N(C(=O)CC)c3ccccc3)C1=O,1
15,CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1,1
16,CN1C2CCC1CC(C2)OC(=O)[C@H](CO)c3ccccc3,1
19,CCCC(C)C,1
20,C[C@H](N)Cc1ccccc1,1
21,c1cc2c(cc(CC3=CNC(=NC3=O)NCCSCc3oc(cc3)CN(C)C)cc2)cc1,0
22,CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,1
24,CCNC(=NC#N)NCCSCc1c(cccn1)Br,0
25,CN(C)C(=O)Cc1n2cc(C)ccc2nc1c3ccc(C)cc3,1
27,FC(F)(F)c1c(Cl)nc(N2CCNCC2)cc1,1
29,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,1
