,Unnamed: 0,smiles,y_true
0,1020,C(C(C3(C(CC4C2CCC1=CC(C=CC1(C)C2C(CC34C)O)=O)=C)O)=O)O,1.0
1,3021,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0.0
2,3537,CNO.Cc1oc(C(C)(C)N(C(C)(C)N)C(C)(C)N)c(C)c1C,1.0
3,5016,CC(=Cc1ccccc1)C=C1SC(=S)N(CC(=O)O)C1=O,0.0
4,6850,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1.0
5,4421,COc1ccc(C2(C#N)CCC(C(=O)O)CC2)cc1OC1CCCC1,1.0
6,7547,C[C@@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC1CC1,1.0
7,6262,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,1.0
8,6969,CC1(c2ccccc2)CC(=O)N(CN2CCOCC2)C1=O,1.0
9,611,C1=C(C(C)=O)C=CC3=C1N(C2=C(C=CC=C2)S3)CCCN4CCC(CCO)CC4,1.0
10,7129,CC1(C)S[C@H]2C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O,0.0
11,7251,CCOC(=O)N1CCC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1.0
12,8441,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1,0.0
13,2762,C[C@@]12C[C@H](N)[C@H]1CN(c1nc3c(cc1F)c(=O)c(C(=O)O)cn3C1CC1)C2,0.0
14,8514,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@@H](C)[C@@H](O)[C@H]2O)cc1F,1.0
15,3852,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,1.0
16,9169,NCC(CC(=O)O)c1ccc(Cl)cc1,0.0
17,554,C1=CC=CC=C1C3(CCN(CCCC(C2=CC=C(F)C=C2)=O)CC3)CNC(C)=O,1.0
18,8789,CC1(C)CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@H](CN2CCCC2)C1,1.0
19,511,[Cl-].CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)ccc(Cl)c4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)\O)C1=O.[H+],0.0
20,1568,C1=C(OC)C=CC2=C1C4=C3[N]2CCN(C3=NCC4)C,1.0
21,6547,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,0.0
22,7774,C=CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)C(=NO)c3csc(N)n3)[C@@H]2SC1,0.0
23,8848,COc1ccc(OC[C@H]2CN(C)CCC2c2ccccc2)cc1,1.0
24,4481,CO[C@H]1[C@H](O)[C@H](N)[C@@H](O[C@H]2O[C@H]([C@@H](C)N)CC[C@@H]2N)[C@H](O)[C@H]1N(C)C(=O)CN,0.0
25,1470,C(C1=NC2=C([N]1C)C(N(C)C(N2C)=O)=O)CCN3CCN(C(N(CC)CC)=O)CC3,1.0
26,5482,NCN.Nc1nc(-c2ccccc2)cs1,1.0
27,6620,COc1ccnc(C[S+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,0.0
28,6945,CCN(CC)[C@H](C)CN1c2ccccc2Sc2ccccc21,1.0
29,8713,CC1=CC=CN2C(=O)C(CCN3CCC(c4noc5cc(F)ccc45)CC3)=C(C)N[C@@H]12,1.0
30,7872,O=C(OCc1ccccc1)N1CCC(CNc2ccncn2)CC1,1.0
31,9597,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,1.0
32,967,c1(c2c(cc(F)cc2)on1)C1CCN(CCc2c(n3c([C@@H](CCC3)O)nc2C)=O)CC1,1.0
33,7186,CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,1.0
34,6431,O=C1CC[C@]2(O)[C@@H]3Cc4ccc(O)c5c4[C@]2(CCN3CC2CC2)[C@@H]1O5,1.0
35,7010,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@H]1SC(C)(C)[C@@H]2C(=O)O,0.0
36,2113,CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2ccccc2C1=O,0.0
37,4142,Cc1ncc(COC(=O)CCC(=O)OCCN(C)C)c(CO)c1O,1.0
38,9172,Cc1nc2c(C)cccn2c(=O)c1CCN1CCC(c2noc3cc(F)ccc23)CC1,1.0
39,2531,CCCl,1.0
40,8602,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,0.0
41,8591,CCC1C(=O)NC(=O)C1(C)c1ccccc1,1.0
42,6120,ClCCCl,1.0
43,2394,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,0.0
44,8004,COc1ccc(-c2noc(CN(C)C(=O)[C@H](C)SCc3ccccc3)n2)c(OC)c1,1.0
45,5529,CCC[C@H]1C[C@H](C(=O)N[C@@H]([C@@H](C)O)[C@H]2O[C@@H](SC)[C@H](O)[C@H](O)[C@@H]2O)N(C)C1,0.0
46,3794,COc1cc([C@H]2c3cc4c(cc3[C@H](O[C@H]3O[C@H]5CO[C@H](c6cccs6)O[C@@H]5[C@@H](O)[C@@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(O)c1O,1.0
47,14,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,0.0
48,2942,COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,0.0
49,6781,CC(C)OC(=O)CCC/C=C/CC1C(O)CC(O)C1/C=C/C(O)COc1cccc(C(F)(F)F)c1,0.0
50,5941,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,0.0
51,1245,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1.0
52,4876,CNCCCN1c2ccccc2CCc2ccccc21,1.0
53,1479,C2=C(C1=C(C=CC(=C1)Cl)[N]2C3=CC=C(C=C3)F)C5CCN(CCN4C(NCC4)=O)CC5,1.0
54,6139,CC1(C)S[C@H]2[C@@H](NC(=O)[C@@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@@H]1C(=O)O,0.0
55,8642,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CC[C@@]2(CCCO2)C[C@H]1N1CCCC1,1.0
56,5395,COc1ccc2c(c1)CN(C)C[C@@H]2c1ccc(Cl)c(Cl)c1,1.0
57,934,CCOC(=O)c1cnc2n(CC)ncc2c1NN=C(C)C,1.0
58,8153,NC(=O)N1c2ccccc2CC(O)c2ccccc21,1.0
59,7017,Cc1cc(=O)c(C(=O)N[C@H](C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@@H]23)c2ccc(O)cc2)c[nH]1,0.0
60,4702,CCC(N)Cc1c[nH]c2ccccc12,1.0
61,6502,CN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1,1.0
62,3065,CCCSc1ccccc1N1CCN(CCCCn2c(=O)[nH]c3ccccc3c2=O)CC1,1.0
63,5264,O=C(CN1CC[C@H](c2ccc(F)cc2)[C@@H](COc2ccc3c(c2)OCO3)C1)c1ccc(F)cc1,1.0
64,7827,CN1CCN(CC(=O)C2(O)CC[C@H]3[C@@H]4CCC5=CC(=O)C=CC5(C)[C@H]4[C@@H](O)CC32C)CC1,1.0
65,7088,CCN(CC)c1nc2c(s1)c1c(O)c3c(O)c(C)c4c(c32)C(=O)[C@@](C)(OC=C[C@H](OC)[C@@H](C)[C@H](OC(C)=O)[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](O)[C@@H](C)C=CC=C(C)C(=O)N1)O4,0.0
66,6338,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)c(Cl)c3)[C@H]2SC1,0.0
67,8118,CC12C=CC(=O)C=C1C(Cl)=C[C@@H]1[C@@H]2[C@@H](O)CC2(C)[C@H]1CCC2(O)C(=O)CO,1.0
68,8022,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,1.0
69,1688,[C@@H]2(OC1O[C@@H](O[C@@H]1[C@H]2O)C(Cl)(Cl)Cl)[C@H](O)CO,1.0
70,5938,CC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)cc1,1.0
71,9584,NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,0.0
72,5369,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,0.0
73,8678,Oc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,1.0
74,9166,CN1CCC23c4c5ccc(O)c4OC2(C)C(=O)CCC3C1C5,1.0
75,3249,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,0.0
76,8941,NCCn1ncc2cc(Cl)c(Cl)cc21,1.0
77,58,COc1cc(CCN)cc(OC)c1OC,1.0
78,8350,CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1,1.0
79,1142,CN(C)CC\C=C/1c2ccccc2Sc3ccc(Cl)cc13,1.0
80,4076,CCCC(=O)OC1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4(C)[C@H]3[C@@H](O)CC21C,1.0
81,3663,CC12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CCC2O,0.0
82,1758,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)Cc3ccc(cc3)C4=NCCCN4)c5ccccc5)C(=O)N2[C@H]1C(O)=O,0.0
83,4065,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@](O)(C(=O)CO)C[C@H]3OC1CC(N)CC(C)O1,0.0
84,4941,CCC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@@H]1[C@H]3C[C@@H](F)C4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@@H](O)C[C@]12C,1.0
85,1078,C1=C(Br)SC2=C1C(=NCC3=NN=C([N]23)C)C4=C(C=CC=C4)Cl,1.0
86,676,C1=CC=CC2=C1C(=C[NH]2)CC(CC)N,1.0
87,2922,CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,1.0
88,7515,CC(C)NNC(=O)COc1ccc(Cl)cc1,1.0
89,7978,C[C@H]1C[C@H]2[C@@H]3CC[C@@H](C(=O)O)[C@]3(C)C[C@@H](O)[C@H]2[C@@]2(C)CCC(=O)C=C12,1.0
90,6314,COc1cc(N)c(Cl)cc1C(=O)N[C@@H]1CCNC[C@@H]1OC,1.0
91,7697,CSc1ccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)cc1,0.0
92,6363,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O[C@H]1OC(=O)c2ccccc21,0.0
93,8148,Cc1cnn(C2CCN(c3nc4ccccc4n3Cc3ccc(F)cc3)CC2)c1,1.0
94,6123,CC[C@H](NC(=O)[C@H](C)Sc1ccc(C)cc1)c1ccc(S(C)(=O)=O)cc1,0.0
