,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,num,name,affinity_score,smiles,BBB+/BBB-
0,0,0,5,6.0,cefoperazone,1,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,
1,1,1,6,7.0,rolitetracycline,1,CN(C)[C@@H]1C(=O)/C(=C(/O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,
2,2,2,7,8.0,ondansetron,1,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,
3,3,3,18,19.0,glyburide,1,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,
4,4,4,19,20.0,lamotrigine,1,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,
5,5,5,24,25.0,sufentanil,1,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,
6,6,6,27,28.0,clozapine,1,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,
7,7,7,29,30.0,piperacillin,1,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O,
8,8,8,36,37.0,11a,0,CN(C)c1cc(-c2nc(N)n[nH]2)ccn1,
9,9,9,38,39.0,2-(3'-Iodo-4'-aminophenyl)-6-hydroxybenzothiazole,1,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1I,
10,10,10,40,41.0,granisetron,1,CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,
11,11,11,46,47.0,compound 37,1,CN(C)Cc1ccc(-c2cccc(NC3N=CC=C3[N+](=O)[O-])c2)o1,
12,12,12,56,57.0,compound 36,1,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,
13,13,13,63,64.0,vincristine,1,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,
14,14,14,64,65.0,SB-222200,1,CCC(NC(=O)c1c(C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,
