,Unnamed: 0,smiles,affinity_score
0,0,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,-1.18
1,1,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,3.69
2,2,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,3.37
3,3,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,3.1
4,5,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,-0.72
5,6,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,0.34
6,7,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,3.05
7,9,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,1.51
8,10,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,2.61
9,11,O=C1CCCCCN1,-0.08
10,13,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,1.34
11,14,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,3.2
12,15,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,1.6
13,18,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,0.32
14,19,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,2.92
15,20,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,1.92
16,21,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,3.17
17,22,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,2.17
18,23,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,1.2
19,25,COc1cnc(nc1N(C)C)c2ccccn2,1.9
20,27,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,1.2
21,30,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,3.3
22,31,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.94
23,32,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,2.34
24,33,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,2.57
25,34,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,3.62
26,38,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,2.78
27,40,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,-0.54
28,42,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@H](C)C(=O)O)C(F)(F)F,-0.4
29,43,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,-0.16
30,45,CC(Nc1ncnc2ccccc12)c3ccccc3,3.4
31,49,OC(=O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc4ccccc4F)c2)nc1,3.0
32,50,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.17
33,51,OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,1.95
34,52,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,-0.99
35,55,COCCNC(=O)c1cccc(Nc2ncc3cc(ccc3n2)c4ccncc4)c1,3.21
36,56,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c2ccc(C)cc2,0.36
37,57,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,2.14
38,61,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,2.77
39,62,COc1cccc(c1)c2c[nH]c(n2)c3ccccc3,3.8
40,64,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,1.91
41,68,Clc1cccc2cn[nH]c12,2.33
42,69,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1,2.8
43,70,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1,-0.54
44,71,Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56,3.16
45,72,C[C@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,2.91
46,74,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,0.2
47,77,CC(=O)Nc1ccc2c(c1)c(cn2CCCO)c3cc(NC4CC4)n5ncc(C#N)c5n3,2.48
48,78,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,-0.45
49,81,COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,3.5
50,83,Oc1cc(nc2ccnn12)c3ccccc3,1.3
51,84,Fc1cc(cc(F)c1C2=CCN(CC2)C=O)N3C[C@H](COc4ccon4)OC3=O,2.01
52,85,CC(C#C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cncn6C,3.59
53,86,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3,0.18
54,87,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,2.6
55,88,Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(F)c2,1.3
56,89,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,2.1
57,91,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,1.72
58,96,CCSc1c(Cc2ccccc2C(F)(F)F)sc3N(CC(C)C)C(=O)N(C)C(=O)c13,4.49
59,98,CCN(CCN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3,2.0
60,99,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C(=O)NC1=O,1.49
61,101,CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1,-0.95
62,102,CC(C)CC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4ccncc4,1.64
63,103,FC(F)c1nc2ccccc2[nH]1,2.02
64,105,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4,2.18
65,107,COc1ccccc1CNc2cc(C)ccn2,3.28
66,108,Nc1nc(Nc2cccc(Br)c2)c3nc[nH]c3n1,3.04
67,110,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)N(c2ccc(C)cc2)c3ccc(C)cc3,0.06
68,111,OC(C(=O)c1ccc(F)cc1)c2ccc(F)cc2,2.49
69,113,CC(C)COc1cccc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cccnc3,2.81
70,114,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc3ccccc3)c1,3.52
71,117,Clc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,1.33
72,118,OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1.83
73,119,COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1OC,3.6
74,123,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F,4.3
75,124,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,2.88
76,126,Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3,1.0
77,128,CNCC[C@H](Oc1ccc(cc1)C(F)(F)F)c2ccccc2,1.89
78,129,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4Cl,1.52
79,133,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.1
80,134,Cc1ncc(nc1c2ccc(cc2)[C@@H]3CC[C@H](CC3)C(=O)O)C(=O)N,0.22
81,136,COc1cc(OC2CCN(CC2)C(=O)C)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,4.0
82,137,COc1ccc(cc1)C2=CC(=O)c3ccccc3N2,2.71
83,139,CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cc(cn6C)C#N)c3C1=O,3.67
84,140,CN1SC(=NC1=O)NC(=O)c2cccc(Cl)c2,0.87
85,141,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4nccn4C,2.83
86,142,CC(=O)Nc1ccc(cc1)C(=O)Nc2ccccc2N,0.82
87,146,Oc1ccc(cc1)N2C=Nc3cc(O)ccc3C2=O,1.6
88,149,COc1ccc(c(OC)n1)c2c(F)ccc3c(N)c(nnc23)C(=O)NC4CC4,3.37
89,152,NC(=O)Nc1cc(sc1C(=O)N)c2cccc(O)c2,2.21
90,153,Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,-0.37
91,154,COC(=O)C1=Nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2NC1=O,2.49
92,158,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4ncc(C#N)s4,1.2
93,159,Cc1ccc(NC(=N)N)cc1C,-1.34
94,162,CC(C)(C#N)c1cnc(s1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N,1.9
95,164,Cc1c(Sc2ccc(Cl)cc2)c3c(NS(=O)(=O)C)cccc3n1CC(=O)O,0.21
96,169,CCN1CCC[C@H]1CNC(=O)c2c(O)c(Cl)cc(Cl)c2OC,1.09
97,171,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4ccc(cc34)C(F)(F)F,1.78
98,172,CSc1ncccc1C(=O)Nc2nccs2,1.43
99,174,Cc1nc2ccc(Cl)cn2c1c3ccnc(N)n3,2.49
100,176,C[C@@H](NC(=O)C1CCCCN1C)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2,3.34
101,178,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C,3.12
102,180,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)C)C(=O)C(F)(F)F,1.77
