,smiles
0,CC(C)CC(C)(C)C
1,CCCCCCC#C
2,CCCCCCCBr
3,CCCCCC#C
4,C=CCC=C
5,CCCCCCCC
6,CCCC[C@@H](C)CC
7,CCC[C@H](C)CC
8,CCCCCCCCCC
9,CCC(C)(C)CC
10,CCCC(C)C
11,CC(C)C(C)C
12,CCCCCC
13,C1CCCCC1
14,CCCCCCI
15,CCCCCC=C
16,CC(C)CCC(C)(C)C
17,CC1CCCC1
18,CCCCCCCI
19,CCCC=C
20,CCCCC
21,CCCC
22,CCC
23,CCCCCCCCl
24,CCCCCCC
25,CC1CCCCC1
26,CC(C)C
27,C1CCCC1
28,CC1CCC(CC1)C
29,CCCC1CCCC1
30,CC(C)C(C)C(C)C
31,CCCCCCBr
32,CCC(C)C
33,CC(C)CC(C)C
34,CCCC(C)(C)C
35,CCCCC(C)C
36,CCCCCCCC=C
37,CCCCCCCCBr
38,CC(C)(C)Cl
39,CCC(C)CC
40,CC[C@@H](C)C(C)C
41,C1CCC=CC1
42,CCCC/C=C/C
43,CCCCC#C
44,CC(C)(C)Br
45,CCCCC=C
46,C=CCCC=C
47,CC=C(C)C
48,CCC(C)(C)C
49,CC(C)Cc1ccccc1
50,CCCCCCC=C
51,CCCCCC1CCCC1
52,C[C@@H]1CCCC[C@@H]1C
53,CC(C)C=C
54,CC1=CCCCC1
55,CCCC(=C)C
56,CCC=C
57,CCCCCCCCC
58,CC(C)(C)C
