,smiles
0,CCCCCCC#C
1,CCCCCCCBr
2,CCCCCC#C
3,CCCCCCCC
4,CCCC[C@@H](C)CC
5,CCCCCCCCCC
6,CCC(C)(C)CC
7,CCCC(C)C
8,CCCCCC
9,C1CCCCC1
10,CCCCCCI
11,CCCCCC=C
12,CC(C)CCC(C)(C)C
13,CC1CCCC1
14,CCCCCCCI
15,CCCC=C
16,CCCCC
17,CCCC
18,CCCCCCCCl
19,CCCCCCC
20,CC1CCCCC1
21,C1CCCC1
22,CCCC1CCCC1
23,CCCCCCBr
24,CCC(C)C
25,CCCC(C)(C)C
26,CCCCC(C)C
27,CCCCCCCC=C
28,CCCCCCCCBr
29,CCC(C)CC
30,CCCC/C=C/C
31,CCCCC#C
32,CCCCC=C
33,C=CCCC=C
34,CCC(C)(C)C
35,CCCCCCC=C
36,CCCCCC1CCCC1
37,C[C@@H]1CCCC[C@@H]1C
38,CC1=CCCCC1
39,CCCC(=C)C
40,CCCCCCCCC
