,smiles,affinity_score
0,CC(C)=CCCC(C)=CC(=O),0.390412938
1,CCCC=C,0.090421276
2,CCCCCCCCCCCCCC,-2.464346426
3,CC(C)Cl,0.704920326
4,CCC(C)CO,1.159746394
5,CCCCCCCCCC(C)O,-0.035381679
6,CCOP(=S)(OCC)SCSCC,-0.601494976
7,CCCCCCCO,0.511377318
8,CCCCCCCC(=O)OC,-0.146668908
9,CCOP(=S)(OCC)SCSC(C)(C)C,-0.913583076
10,ClC(=C)Cl,0.593633096
11,CCCCC=O,0.975880537
12,CCCCCCCI,-0.94019524
13,OCCCC=C,1.3145808
14,CC(C)OC=O,1.082329191
15,CCCCCC(C)O,0.637180273
16,CCCCCCC#C,-0.383759093
17,CC(C)CCC(C)(C)C,-1.056321044
18,CCCC(=O)C,1.295226499
19,CCCOC(=O)CC,0.990396262
20,CCC(Br)(CC)C(=O)NC(N)=O,0.090421276
21,CCCCC(=O)OCC,0.29848001
22,CC(C)CCOC(=O)C,0.458152991
23,CCCBr,0.55008592
24,COP(=S)(OC)SCC(=O)N(C)C=O,0.421863677
25,NC(=S)N,1.541993834
26,ClC(Cl)(Cl)C(Cl)(Cl)Cl,-0.388597668
27,CCCN(=O)=O,1.000073413
28,CCCOC(C)C,0.738790352
29,ClCCl,1.082329191
30,COC=O,1.667796789
31,CC(C)C,0.153322754
32,CCCCC,-0.151507483
33,CCCC(=C)C,-0.078928856
34,CC(C)C(C)C(C)C,-0.935356665
35,CCCCCCCCC=C,-1.278895503
36,CC(=O)OCC(COC(=O)C)OC(=O)C,1.096844916
37,CCCCCCCBr,-0.756329383
38,CCOC(=O)CC(=O)OCC,0.990396262
39,CC/C=C/C,0.158161329
40,ClC=C(Cl)Cl,0.43879869
41,CO,2.146815733
42,CCC(=O)C,1.638765338
43,CCCCCCO,0.787176104
44,CCCCCCl,0.0662284
45,C=CC=C,0.482345867
46,CCCOC(=O)C,1.038782014
47,NC(=O)CCl ,1.377482278
48,CCCCCC=O,0.758144653
49,CC(C)=CCC/C(C)=C\CO,0.19686993
50,CCN(=O)=O,1.280710774
51,CCCC(C)(COC(N)=O)COC(N)=O ,0.512828891
52,CI,0.903301909
53,CCCCC(=O)CCCC,0.138807028
54,CCC(C)CC,-0.393436243
55,ClCC#N,1.342644536
56,CCCCCCCCC(=O)OCC,-0.451499145
57,CCC(C)Cl,0.43879869
58,CCCCC#C,0.245255682
59,CCCCCCCC#C,-0.664396454
60,CC(C)OC(C)C,0.854916157
61,CNN,2.035528504
62,CC#C,1.188777845
63,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-0.261826998
64,C=CC=O,1.662958214
65,CCCCl,0.675888875
66,CCOC(=O)C,1.367805127
67,CCCC(C)(C)C,-0.722459356
68,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-0.497949467
69,CC(=C)C=C,0.404928664
70,CC(C)=CCCC(O)(C)C=C,0.424282965
71,OCC(O)C(O)C(O)C(O)CO ,1.416190879
72,CCCC(=O)CCC,0.758144653
73,CC(=O)C(C)(C)C,1.038782014
74,ClC(Cl)(Cl)C#N,0.338156326
75,CCCCCCCCC(=O)C,-0.209570386
76,CSC,1.169423544
77,CCOC(=O)N,1.798438319
78,CC(C)C(O)C(C)C,0.796853254
79,CCCCBr,0.240417107
80,CC(C)CC(=O)C,1.029104864
81,OCC(O)C(O)C(O)C(O)CO,1.914564124
82,CCS,1.096844916
83,ClCC(Cl)Cl,0.671050299
84,CCCCCCCCl,-0.548270649
85,ClC(Cl)C(Cl)Cl,0.545247344
86,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,1.640216911
87,CCCCCCCl,-0.122476032
88,CCCCCCCCCCCCCCCCCCCCCCCCCC,-2.645309138
89,CC(Cl)Cl,0.762983228
90,ClC(Cl)(Cl)Cl,0.269448558
91,COC(C)(C)C,1.271033623
92,CCCCCCCCCCCCCCCCO,-1.999843207
93,CCC(C)(C)CO,0.883947608
94,CCCOC(=O)CCC,0.540408769
95,CCCOC=O,1.150069243
96,CC(C)CC(C)C,-0.674073604
97,CCCCCCCCCC(=O)OCC,-0.596656401
98,CCCOCC,1.067813465
99,CC(C)O,1.595218161
100,ClC(Br)Br,0.467830141
101,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-0.243440412
102,C/C=C/C=O,1.541993834
103,CCCCCC(=O)OC,0.482345867
104,CCC(=O)OC,1.319419375
105,CCCC(=O)OC,0.458152991
106,CCCCCC(=O)OCC,0.250094258
107,CCCCCCC=C,-0.761167958
108,CCCC(O)CC,1.000073413
109,CCCCCCCC(C)O,0.061389825
110,CCCC(=O)CC,0.985557687
111,ClCBr,0.956526236
112,CCN(CC)C(=S)SSC(=S)N(CC)CC,-0.964388116
113,CCCCCCCCO,0.230739957
114,CCSCC,0.738790352
115,ClCCCl,0.874270457
116,CCC(C)(C)Cl,0.172677055
117,ClCCBr,0.748467502
118,CCCCCCCC=C,-1.056321044
119,CCC(C)(O)CC,1.212970721
120,CCCCC(C)O,0.956526236
121,CCCCCO,1.096844916
122,ClCCC#N ,1.246840747
123,CC(C)C(C)O,1.300065074
124,CCCCCCCCCC(=O)OC,-0.882132338
125,CC(C)CBr,0.211385656
126,CCI,0.612987397
127,CCCCCCBr,-0.456337721
128,CCCC(C)C,-0.422467694
129,BrC(Br)Br,0.462991566
130,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1.280710774
131,CC(C)Br,0.617825972
132,CC(C)CC(C)(C)C,-0.906325214
133,CCC,0.448475841
