,Unnamed: 0,smiles,affinity_score
0,0,CCN1C(=O)NC(c2ccccc2)C1=O,0
1,1,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0
2,2,CC(O)(P(=O)(O)O)P(=O)(O)O,0
3,3,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0
4,4,O=S(=O)(Cl)c1ccccc1,0
5,5,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,1
6,6,OC[C@H](O)[C@@H](O)[C@H](O)CO,0
7,8,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0
8,9,CC(C)COC(=O)C(C)C,0
9,10,C=C(C)C(=O)OCCOC(=O)C(=C)C,0
10,11,O=C([O-])Cc1cccc2ccccc12,0
11,12,CCN(CC)C(=O)c1cccnc1,0
12,13,COc1cc(O)cc(O)c1,0
13,14,CCOc1ccc(S(=O)(=O)O)c2cccnc12,0
14,15,O=C(O)[C@H](O)c1ccccc1,0
15,16,Nc1ccc(/N=N/c2ccccc2)cc1,0
16,17,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0
17,18,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0
18,19,C#CCO,0
19,20,Nc1ccccc1S(=O)(=O)O,0
20,21,CC(O)CC(C)(C)O,0
21,22,CC(C)(C)CC(C)(C)N,0
22,23,CC(=O)CC(C)C,0
23,24,CCCC(C)=O,0
24,25,Nc1nc2ccccc2[nH]1,0
25,26,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
26,27,c1ccc(-c2ccccc2)cc1,0
27,28,CNC(=O)Nc1ccc(Cl)c(Cl)c1,0
28,29,CC(=O)Nc1ccc(C)c(Cl)c1,0
29,30,CCCCNC(=S)NCCCC,0
30,31,CCCCNC(=O)NCCCC,0
31,32,CC(C)N(c1ccccc1)C(C)C,0
32,33,CCc1cccc(C)c1,0
33,34,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0
34,35,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0
35,36,CCCCCCCCCCC=CC1CC(=O)OC1=O,0
36,37,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0
