,smiles,affinity_score
0,CCN1C(=O)NC(c2ccccc2)C1=O,0
1,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0
2,CC(O)(P(=O)(O)O)P(=O)(O)O,0
3,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0
4,O=S(=O)(Cl)c1ccccc1,0
5,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,1
6,OC[C@H](O)[C@@H](O)[C@H](O)CO,0
8,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0
9,CC(C)COC(=O)C(C)C,0
10,C=C(C)C(=O)OCCOC(=O)C(=C)C,0
11,O=C([O-])Cc1cccc2ccccc12,0
12,CCN(CC)C(=O)c1cccnc1,0
13,COc1cc(O)cc(O)c1,0
14,CCOc1ccc(S(=O)(=O)O)c2cccnc12,0
15,O=C(O)[C@H](O)c1ccccc1,0
16,Nc1ccc(/N=N/c2ccccc2)cc1,0
17,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0
18,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0
19,C#CCO,0
20,Nc1ccccc1S(=O)(=O)O,0
21,CC(O)CC(C)(C)O,0
22,CC(C)(C)CC(C)(C)N,0
23,CC(=O)CC(C)C,0
24,CCCC(C)=O,0
25,Nc1nc2ccccc2[nH]1,0
26,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
27,c1ccc(-c2ccccc2)cc1,0
28,CNC(=O)Nc1ccc(Cl)c(Cl)c1,0
29,CC(=O)Nc1ccc(C)c(Cl)c1,0
30,CCCCNC(=S)NCCCC,0
31,CCCCNC(=O)NCCCC,0
32,CC(C)N(c1ccccc1)C(C)C,0
33,CCc1cccc(C)c1,0
34,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0
35,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0
36,CCCCCCCCCCC=CC1CC(=O)OC1=O,0
37,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0
38,CCOP(=S)(CC)Sc1ccccc1,0
39,CC/C=C\CCCCO,0
40,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,0
41,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0
42,CC(=O)CCC(C)=O,0
43,N#CCCNCCC#N,0
45,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0
48,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0
49,Cc1ccccc1CCO,0
50,Cc1nc(C)c(C)nc1C,0
51,CC1=CC(O)CC(C)(C)C1,0
52,Cc1cnc(C)c(C)n1,0
53,CC(C)COC(=O)c1ccccc1,0
54,C=C(C)[C@@H]1CC=C(C)CC1,0
55,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0
56,CC1COc2ccccc2N1,0
57,O=C(O)c1cc(Cl)cc(Cl)c1O,0
58,CC(C)CCCCCOC(=O)CCS,0
59,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0
60,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1
61,C=CCOc1c(Br)cc(Br)cc1Br,0
62,F[B-](F)(F)F.[H+],0
63,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0
64,C(=C/c1ccccc1)\c1ccccc1,0
65,Cc1ccc2c(ccc3ccccc32)c1,0
67,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,1
70,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],0
71,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0
73,CCCCCC(C)O,0
74,O=C([O-])c1ccccc1O,0
75,NC(=O)c1ccccc1,0
77,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,0
78,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,0
80,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0
82,Nc1ccc([N+](=O)[O-])cc1N,0
83,[I-].[K+],0
85,Oc1nc(Cl)c(Cl)cc1Cl,0
86,C/C=C/C=C/C=O,0
87,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,0
88,C[Si](C)(C)N[Si](C)(C)C,0
89,C=CC(=O)OCCCl,0
90,COCC(C)N(C(=O)CCl)c1c(C)csc1C,0
96,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0
98,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0
99,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,0
100,O=C(O)/C=C(\CC(=O)O)C(=O)O,0
101,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,0
103,CC(C)(C)C1CCC(=O)CC1,0
106,CCCCC(=O)[O-],0
107,CCCCCCCCCCCCCC(=O)OC,0
108,CCCCCCC(C)O,0
109,CCC[Si](OC)(OC)OC,0
110,CC1=C(CC=O)C(C)(C)CCC1,0
111,NCCNCCNCCN,0
113,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0
114,Cc1ccc(N)c(N)c1,0
115,CCCCCNCCCCC,0
116,COCC(C)O,0
119,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,0
122,ClCOCCl,0
123,CC(O)CNCC(C)O,0
124,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,0
